六碼郵遞區號,電腦局號,郵務局號,局名,電腦局名,郵務電話,儲匯電話,郵務傳真,縣市,鄉鎮市區,地址,經度,緯度,平常日提供服務,平常日延時提供服務,週六提供服務,週日提供服務,週一 郵務,週二 郵務,週三 郵務,週四 郵務,週五 郵務,週一 儲匯,週二 儲匯,週三 儲匯,週四 儲匯,週五 儲匯,週六,週日,提供郵務業務延時服務郵局 週一至週五,提供郵務及儲匯業務延時服務郵局 週一至週五,營業時間備註,郵遞區號
100003,000100-6,100000,臺北北門郵局,臺北901支,(02)2361-5752,(02)2381-3135,(02)2314-9258,臺北市,中正區,忠孝西路一段120號1樓,121.512212,25.047246,○,○,○,,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,08:30-21:00 ,09:00-12:00 , ,,○,1.延時營業時間：17:30-21:00<br>2.營業時間及延時營業時間受理項目請參閱服務性質說明<br>,10044
100016,000101-0,100001,臺北東門郵局,臺北1支,(02)2394-7576,(02)2321-4679,(02)2356-9043,臺北市,中正區,信義路二段163號,121.528922,25.03408,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,,10064
108207,000102-3,100002,臺北漢中街郵局,臺北2支,(02)2361-6809,(02)2331-4069,(02)2311-5674,臺北市,萬華區,漢中街173號,121.507005,25.04132,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10846
108010,000103-7,100003,臺北西園郵局,臺北3支,(02)2331-4524,(02)2331-4524,(02)2361-0974,臺北市,萬華區,長沙街二段156、158、160、162號,121.501031,25.040769,○,,,,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,,,,10847
100056,000105-4,100005,臺北南海郵局,臺北5支,(02)2396-3142,(02)2321-4189,(02)2356-9042,臺北市,中正區,重慶南路二段43號(郵政博物館1樓),121.514659,25.031833,○,○,○,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,09:00-12:00 , ,○,,,10075
100053,000106-8,100006,臺北螢橋郵局,臺北6支,(02)2368-4714,(02)2367-0905,(02)2365-9044,臺北市,中正區,廈門街76號,121.517368,25.02463,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10083
106203,000107-1,100007,臺北青田郵局,臺北7支,(02)2321-4288,(02)2321-8001,(02)2396-0048,臺北市,大安區,和平東路一段155號,121.531151,25.026851,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,自111年12月1日起，營業時間調整如下：<br>郵務：08:30-17:30<br>儲匯：08:30-17:00<br>,10644
100009,000108-5,100008,臺北復興橋郵局,臺北8支,(02)2311-4421,(02)2311-4421,(02)2311-7184,臺北市,中正區,忠孝西路一段1號,121.519409,25.046041,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10041
104202,000109-9,100009,臺北中山郵局,臺北9支,(02)2542-6403,(02)2542-5934,(02)2567-1440,臺北市,中山區,中山北路一段142號,121.522121,25.051515,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10444
103210,000110-1,100010,臺北迪化街郵局,臺北10支,(02)2556-0519,(02)2556-0631,(02)2556-0833,臺北市,大同區,迪化街一段38號,121.510023,25.054805,○,○,,,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:30 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 ,08:30-17:00 , , ,○,,,10343
