機構類別,機構代碼,機構名稱,機構網址
本國公營銀行,0040000,臺灣銀行,http://www.bot.com.tw/Pages/default.aspx
本國公營銀行,0050000,土地銀行,http://www.landbank.com.tw/
本國公營銀行,7000000,中華郵政公司,http://www.post.gov.tw/post/internet/index.jsp
本國民營銀行,0060000,合作金庫商業銀行,http://www.tcb-bank.com.tw/Pages/Default.aspx
本國民營銀行,0070000,第一商業銀行,http://www.firstbank.com.tw/
本國民營銀行,0080000,華南商業銀行,http://www.hncb.com.tw/
本國民營銀行,0090000,彰化商業銀行,https://www.chb.com.tw/wcm/web/home/index.html
本國民營銀行,0110000,上海商業儲蓄銀行,http://www.scsb.com.tw/
本國民營銀行,0120000,台北富邦商業銀行,https://www.fubon.com/financial/home/index.htm
本國民營銀行,0130000,國泰世華商業銀行,https://www.cathaybk.com.tw/cathaybk/
本國民營銀行,0160000,高雄銀行,https://www.bok.com.tw/welcome
本國民營銀行,0170000,兆豐國際商業銀行,https://www.megabank.com.tw/
本國民營銀行,0180000,全國農業金庫,http://www.agribank.com.tw/
本國民營銀行,0210000,花旗(台灣)商業銀行,http://www.citibank.com.tw/sim/index.htm
本國民營銀行,0480000,王道商業銀行,http://www.ibt.com.tw/
本國民營銀行,0520000,渣打國際商業銀行,https://www.sc.com/tw/
本國民營銀行,0530000,台中商業銀行,https://www.tcbbank.com.tw/
本國民營銀行,0540000,京城商業銀行,http://www.ktb.com.tw/
本國民營銀行,0810000,匯豐(台灣)商業銀行,http://www.hsbc.com.tw/1/2/home_zh_TW
本國民營銀行,1010000,瑞興商業銀行,https://www.bankoftaipei.com.tw/
本國民營銀行,1020000,華泰商業銀行,http://www.hwataibank.com.tw/hwatai/index.jsp
本國民營銀行,1030000,臺灣新光商業銀行,https://www.skbank.com.tw/
本國民營銀行,1080000,陽信商業銀行,http://www.sunnybank.com.tw//
本國民營銀行,1180000,板信商業銀行,http://www.bop.com.tw/
本國民營銀行,1470000,三信商業銀行,http://www.cotabank.com.tw/index.html
本國民營銀行,8030000,聯邦商業銀行,http://www.ubot.com.tw/
本國民營銀行,8050000,遠東商業銀行,https://www.feib.com.tw/
本國民營銀行,8060000,元大商業銀行,https://www.yuantabank.com.tw/bank/
本國民營銀行,8070000,永豐商業銀行,http://www.banksinopac.com.tw/bsp/index/index.asp
本國民營銀行,8080000,玉山商業銀行,http://www.esunbank.com.tw/
本國民營銀行,8090000,凱基商業銀行,https://www.kgibank.com/
本國民營銀行,8100000,星展(台灣)商業銀行,http://www.dbs.com.tw/index-zh/default.page
本國民營銀行,8120000,台新商業銀行,https://www.taishinbank.com.tw/TS/TS02/
本國民營銀行,8160000,安泰商業銀行,http://www.entiebank.com.tw/
本國民營銀行,8220000,中國信託商業銀行,https://www.ctbcbank.com/CTCBPortalWeb/appmanager/ebank/rb
本國民營銀行,8230000,將來商業銀行,https://www.nextbank.com.tw/
本國民營銀行,8260000,樂天國際商業銀行,https://www.rakuten-bank.com.tw/
本國民營銀行,8240000,連線商業銀行,https://www.linebank.com.tw/
本國民營銀行,0500000,台灣中小企業銀行,http://www.tbb.com.tw/wps/wcm/connect/TBBInternet
外國銀行,0200000,日商瑞穗實業銀行,http://www.mizuhobank.co.jp/index.html
外國銀行,0220000,美商美國銀行,
外國銀行,0230000,泰國盤谷銀行,http://www.bbl.com.tw/
外國銀行,250000,菲律賓首都銀行,http://www.metrobank.com.tw/
外國銀行,280000,美國紐約梅隆銀行,https://www.bnymellon.com/
外國銀行,290000,新加坡大華銀行,http://www.uobgroup.com/
外國銀行,300000,美商道富銀行,http://www.statestreet.com/home.html
外國銀行,328000,法商法國外貿銀行,https://apac.cib.natixis.com/taiwan
外國銀行,329000,印尼商印尼人民銀行,https://www.britaipei.com/home
外國銀行,370000,法商法國興業銀行,http://www.socgen.com.tw/
外國銀行,750000,香港商東亞銀行,http://www.hkbea.com/html/en/index.html
外國銀行,760000,美商摩根大通銀行,
外國銀行,780000,新加坡商星展銀行,http://www.dbs.com.tw/index-zh/default.page
外國銀行,820000,法商法國巴黎銀行,http://www.bnpparibas.com.tw/cn/
外國銀行,830000,英商渣打銀行,https://www.sc.com/tw/
外國銀行,850000,新加坡華僑銀行,http://www.ocbc.com.sg/group/Group-Home.html
外國銀行,860000,法商東方匯理銀行,
外國銀行,920000,瑞士商瑞士銀行,http://www.ubs.com/tw/en.html
外國銀行,930000,荷商安智銀行,http://www.ing.com/en.htm
外國銀行,970000,美商富國銀行,https://www.wellsfargo.com/
外國銀行,980000,日商三菱日聯銀行,http://www.btm.co.jp/
外國銀行,3210000,日商三井住友銀行,http://www.smbc.co.jp/
外國銀行,3240000,美商花旗銀行,http://www.citibank.com.tw/sim/index.htm
