銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址
000,,中央銀行國庫局,,"台北市中正區羅斯福路一段２號"
000,0022,中央銀行國庫局,國庫局,"台北市中正區羅斯福路一段２號"
004,,臺灣銀行,,"台北市中正區重慶南路一段１２０號"
004,0037,臺灣銀行,營業部,"台北市中正區重慶南路一段１２０號"
004,0059,臺灣銀行,公庫部,"台北市中正區貴陽街一段１２０號"
004,0071,臺灣銀行,館前分行,"台北市中正區館前路４９號"
004,0093,臺灣銀行,臺南分行,"台南市中西區府前路一段１５５號"
004,0107,臺灣銀行,臺中分行,"台中市西區自由路一段１４０號"
004,0118,臺灣銀行,高雄分行,"高雄市前金區中正四路２６４號"
004,0129,臺灣銀行,基隆分行,"基隆市中正區義一路１６號"
004,0130,臺灣銀行,中興新村分行,"南投縣南投市中興新村光華路１１號"
004,0141,臺灣銀行,嘉義分行,"嘉義市中山路３０６號"
004,0152,臺灣銀行,新竹分行,"新竹市林森路２９號"
004,0163,臺灣銀行,彰化分行,"彰化縣彰化市成功路１３０號"
004,0174,臺灣銀行,屏東分行,"屏東縣屏東市中山路４３號"
004,0185,臺灣銀行,花蓮分行,"花蓮縣花蓮市公園路３號"
004,0196,臺灣銀行,延平分行,"台北市大同區南京西路４０６號"
004,0200,臺灣銀行,中山分行,"台北市中山區中山北路一段１５０號"
004,0211,臺灣銀行,高雄加工出口區分行,"高雄市高雄加工出口區中一路１號"
004,0222,臺灣銀行,宜蘭分行,"宜蘭縣宜蘭市舊城南路５０號"
004,0233,臺灣銀行,臺東分行,"台東縣台東市中華路１段３７３號"
004,0244,臺灣銀行,澎湖分行,"澎湖縣馬公市仁愛路２４號"
004,0255,臺灣銀行,鳳山分行,"高雄市鳳山區曹公路２０號"
004,0266,臺灣銀行,桃園分行,"桃園市桃園區中正路４６號"
004,0277,臺灣銀行,板橋分行,"新北市板橋區府中路２１號"
004,0288,臺灣銀行,新營分行,"台南市新營區中正路１０號"
004,0299,臺灣銀行,苗栗分行,"苗栗縣苗栗市中正路５１０號"
